id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address,fecha_consulta
10002,San Jeronimo,Soriana,sabrosano,aceite vegetal comestible sabor mantequilla,44.9,botella 850 ml,aceite,19.330351,-99.208839,"anillo perif. 630, jardines del pedregal, álvaro obregón, 01900 ciudad de méxico, cdmx",2023-05-15 17:18:44
10002,San Jeronimo,Soriana,gran tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.330351,-99.208839,"anillo perif. 630, jardines del pedregal, álvaro obregón, 01900 ciudad de méxico, cdmx",2023-05-15 17:18:44
10002,San Jeronimo,Soriana,precíssimo,aceite vegetal,39.0,botella 850 ml,aceite,19.330351,-99.208839,"anillo perif. 630, jardines del pedregal, álvaro obregón, 01900 ciudad de méxico, cdmx",2023-05-15 17:18:44
4417,La Comer Insurgentes,La Comer,1.2.3.,aceite vegetal comestible,52.0,botella 1 l,aceite,19.366487,-99.182073,"perpetua 35, san jose insurgentes, 3900 benito juarez, mexico, distrito federal",2023-05-15 17:18:44
4417,La Comer Insurgentes,La Comer,gran tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.366487,-99.182073,"perpetua 35, san jose insurgentes, 3900 benito juarez, mexico, distrito federal",2023-05-15 17:18:44
10353,Mixcoac Revolucion,Soriana,1.2.3.,aceite vegetal comestible,56.9,botella 1 l,aceite,19.379341,-99.186723,av. revolucion 780,2023-05-15 17:18:44
10353,Mixcoac Revolucion,Soriana,sabrosano,aceite vegetal comestible sabor mantequilla,44.9,botella 850 ml,aceite,19.379341,-99.186723,av. revolucion 780,2023-05-15 17:18:44
10353,Mixcoac Revolucion,Soriana,gran tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.379341,-99.186723,av. revolucion 780,2023-05-15 17:18:44
10353,Mixcoac Revolucion,Soriana,precíssimo,aceite vegetal,39.0,botella 850 ml,aceite,19.379341,-99.186723,av. revolucion 780,2023-05-15 17:18:44
138,Universidad,Selecto Chedraui,canoil,aceite vegetal puro de canola,47.0,botella 946 ml,aceite,19.3735484,-99.1621604,av. universidad 740,2023-05-15 17:18:44
138,Universidad,Selecto Chedraui,1.2.3.,aceite vegetal comestible,52.0,botella 1 l,aceite,19.3735484,-99.1621604,av. universidad 740,2023-05-15 17:18:44
138,Universidad,Selecto Chedraui,sabrosano,aceite vegetal comestible sabor mantequilla,43.5,botella 850 ml,aceite,19.3735484,-99.1621604,av. universidad 740,2023-05-15 17:18:44
