id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address
4447,La Comer El Dorado,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.551501,-99.209819,"ATENAS 6, FRACC. VALLE DORADO, 54020 TLALNEPANTLA, TLALNEPANTLA, ESTADO DE MEXICO"
4447,La Comer El Dorado,La Comer,,masa de maíz blanco,15.0,"a granel, precio por kg",tortilla+de+maíz,19.551501,-99.209819,"ATENAS 6, FRACC. VALLE DORADO, 54020 TLALNEPANTLA, TLALNEPANTLA, ESTADO DE MEXICO"
27176,Aragon,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.499317,-99.0447,Av. Central  263
27176,Aragon,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.499317,-99.0447,Av. Central  263
20638,Chedraui Selecto Tezontle,Chedraui,Chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.38458,-99.082231,"Av Canal de Tezontle 1512, Área Federal Central de Abastos, Iztapalapa, 09020 Ciudad de México, CDMX"
27464,La Comer Iztapalapa Las Torres,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.352049,-99.013243,"CALZ ERMITA IZTAPALAPA 3865, SANTA MARIA AZTAHUACAN, 9730 IZTAPALAPA, IZTAPALAPA, DISTRITO FEDERAL"
27464,La Comer Iztapalapa Las Torres,La Comer,F/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.352049,-99.013243,"CALZ ERMITA IZTAPALAPA 3865, SANTA MARIA AZTAHUACAN, 9730 IZTAPALAPA, IZTAPALAPA, DISTRITO FEDERAL"
26729,Chedraui Neza Estadio,Chedraui,Chedraui,tortilla amarilla,12.5,"a granel, precio por kg",tortilla+de+maíz,19.400626,-98.98726,4Ta. Avenida No. 257 Lote 1 Entre Lázaro Cárdenas Y Cto Rey Neza
26729,Chedraui Neza Estadio,Chedraui,,tortillas blancas de maíz,12.5,"a granel, precio por kg",tortilla+de+maíz,19.400626,-98.98726,4Ta. Avenida No. 257 Lote 1 Entre Lázaro Cárdenas Y Cto Rey Neza
26722,Chedraui Tepozán,Chedraui,Chedraui,tortilla amarilla,12.4,"a granel, precio por kg",tortilla+de+maíz,19.362166,-98.988547,Av. Tepozanes No. 3 Entre Tabachines Y Siervo De La Nación
